PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
MS Dhoni,29,50,1.7241379310344827,2078
PA Patel,39,19,0.48717948717948717,2078
R Dravid,79,69,0.8734177215189873,2078
RA Jadeja,1,0,0.0,2078
RS Bopara,22,37,1.6818181818181819,2078
SK Raina,15,15,1.0,2078
V Kohli,93,107,1.1505376344086022,2078
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Balbirnie,24,16,0.6666666666666666,3167
AC Evans,25,22,0.88,3167
AD Poynter,52,21,0.40384615384615385,3167
AR White,4,1,0.25,3167
CS MacLeod,3,4,1.3333333333333333,3167
FRJ Coleman,11,7,0.6363636363636364,3167
HJW Gardiner,32,13,0.40625,3167
I Wardlaw,1,0,0.0,3167
J Anderson,27,12,0.4444444444444444,3167
JF Mooney,29,27,0.9310344827586207,3167
JH Davey,70,40,0.5714285714285714,3167
KJ O'Brien,68,67,0.9852941176470589,3167
MA Leask,14,10,0.7142857142857143,3167
MC Sorensen,23,14,0.6086956521739131,3167
MH Cross,3,4,1.3333333333333333,3167
PL Mommsen,4,3,0.75,3167
RD Berrington,127,101,0.7952755905511811,3167
RM Haq,13,7,0.5384615384615384,3167
SR Thompson,36,39,1.0833333333333333,3167
SW Poynter,16,8,0.5,3167
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AJ Finch,135,121,0.8962962962962963,2929
AN Cook,4,4,1.0,2929
BA Stokes,20,21,1.05,2929
DA Warner,74,65,0.8783783783783784,2929
EJG Morgan,48,50,1.0416666666666667,2929
GJ Bailey,18,17,0.9444444444444444,2929
GJ Maxwell,13,8,0.6153846153846154,2929
GS Ballance,96,79,0.8229166666666666,2929
IR Bell,57,41,0.7192982456140351,2929
JC Buttler,24,34,1.4166666666666667,2929
JE Root,24,3,0.125,2929
MJ Clarke,42,43,1.0238095238095237,2929
RS Bopara,21,17,0.8095238095238095,2929
SR Watson,2,0,0.0,2929
TT Bresnan,9,16,1.7777777777777777,2929
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Mathews,60,51,0.85,1340
BB McCullum,53,14,0.2641509433962264,1340
DL Vettori,21,10,0.47619047619047616,1340
DPMD Jayawardene,2,0,0.0,1340
DR Tuffey,7,2,0.2857142857142857,1340
GD Elliott,77,41,0.5324675324675324,1340
IG Butler,38,25,0.6578947368421053,1340
JD Ryder,2,0,0.0,1340
JDP Oram,3,4,1.3333333333333333,1340
KC Sangakkara,47,18,0.3829787234042553,1340
KMDN Kulasekara,5,6,1.2,1340
LRPL Taylor,4,2,0.5,1340
MJ Guptill,13,3,0.23076923076923078,1340
NL McCullum,1,0,0.0,1340
SE Bond,3,1,0.3333333333333333,1340
SHT Kandamby,31,15,0.4838709677419355,1340
ST Jayasuriya,20,7,0.35,1340
T Thushara,5,6,1.2,1340
TM Dilshan,6,4,0.6666666666666666,1340
TT Samaraweera,126,104,0.8253968253968254,1340
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
